iter	Passed	Remaining
779	6646	1874
780	6654	1866
781	6662	1857
782	6671	1848
783	6679	1840
784	6687	1831
785	6696	1823
786	6704	1814
787	6712	1806
788	6721	1797
789	6729	1788
790	6737	1780
791	6746	1771
792	6754	1763
793	6762	1754
794	6770	1745
795	6779	1737
796	6788	1728
797	6796	1720
798	6804	1711
799	6813	1703
800	6821	1694
801	6829	1686
802	6838	1677
803	6846	1669
804	6855	1660
805	6863	1652
806	6872	1643
807	6880	1634
808	6888	1626
809	6897	1617
810	6906	1609
811	6916	1601
812	6925	1592
813	6934	1584
814	6943	1576
815	6952	1567
816	6961	1559
817	6971	1551
818	6980	1542
819	6989	1534
820	6997	1525
821	7006	1517
822	7015	1508
823	7024	1500
824	7033	1492
825	7042	1483
826	7051	1475
827	7060	1466
828	7068	1458
829	7077	1449
830	7085	1440
831	7093	1432
832	7102	1423
833	7110	1415
834	7118	1406
835	7126	1398
836	7135	1389
837	7143	1380
838	7151	1372
839	7159	1363
840	7167	1355
841	7175	1346
842	7184	1337
843	7192	1329
844	7201	1320
845	7209	1312
846	7217	1303
847	7225	1295
848	7234	1286
849	7242	1278
850	7251	1269
851	7259	1260
852	7267	1252
853	7275	1243
854	7283	1235
855	7292	1226
856	7300	1218
857	7308	1209
858	7316	1200
859	7324	1192
860	7332	1183
861	7341	1175
862	7349	1166
863	7357	1158
864	7365	1149
865	7374	1141
866	7382	1132
867	7391	1124
868	7399	1115
869	7407	1106
870	7416	1098
871	7424	1089
872	7432	1081
873	7440	1072
874	7449	1064
875	7457	1055
876	7466	1047
877	7474	1038
878	7483	1030
879	7491	1021
880	7500	1013
881	7508	1004
882	7516	995
883	7524	987
884	7533	978
885	7541	970
886	7549	961
887	7558	953
888	7566	944
889	7574	936
890	7583	927
891	7591	919
892	7599	910
893	7608	902
894	7616	893
895	7624	885
896	7633	876
897	7641	868
898	7650	859
899	7658	850
900	7666	842
901	7675	833
902	7683	825
903	7691	816
904	7700	808
905	7708	799
906	7716	791
907	7725	782
908	7734	774
909	7742	765
910	7750	757
911	7759	748
912	7767	740
913	7776	731
914	7784	723
915	7792	714
916	7800	706
917	7809	697
918	7817	689
919	7825	680
920	7834	671
921	7843	663
922	7851	655
923	7860	646
924	7868	638
925	7877	629
926	7886	621
927	7895	612
928	7905	604
929	7914	595
930	7923	587
931	7932	578
932	7941	570
933	7950	561
934	7959	553
935	7967	544
936	7976	536
937	7985	527
938	7994	519
939	8003	510
940	8012	502
941	8021	493
942	8030	485
943	8039	476
944	8048	468
945	8056	459
946	8065	451
947	8073	442
948	8081	434
949	8089	425
950	8098	417
951	8106	408
952	8113	400
953	8122	391
954	8131	383
955	8139	374
956	8147	366
957	8156	357
958	8164	349
959	8172	340
960	8180	331
961	8188	323
962	8196	314
963	8205	306
964	8213	297
965	8221	289
966	8229	280
967	8237	272
968	8245	263
969	8253	255
970	8261	246
971	8270	238
972	8278	229
973	8286	221
974	8294	212
975	8302	204
976	8310	195
977	8318	187
978	8327	178
979	8335	170
980	8343	161
981	8352	153
982	8360	144
983	8369	136
984	8377	127
985	8385	119
986	8393	110
987	8401	102
988	8410	93
989	8418	85
990	8426	76
991	8435	68
992	8443	59
993	8451	51
994	8460	42
995	8468	34
996	8477	25
997	8485	17
998	8493	8
999	8502	0
